Category,Word 1,Word 2,Word 3,Word 4,Answer,clue
before,kiss,toast,poodle,fries,French,_____ item
before,bear,circle,fleece,cap,polar,_____ item
after,fly,man,sale,arm,fire,item _____
after,ire,fin,green,ice,land,item _____
after,bermuda,love,right,golden,triangle,item _____
before,bow,drop,coat,check,rain,_____ item
before,fall,board,mark,works,water,_____ item
after,pet,go,ton,away,car,item _____
after,bin,din,car,man,go,item _____
before,moon,whale,grass,lagoon,blue,_____ item
before,birds,affair,potion,interest,love,_____ item
before,paper,chip,grease,valley,silicon,_____ item
after,toe,log,traffic,strawberry,jam,item _____
before,mill,farm,screen,tunnel,wind,_____ item
after,some,no,any,busy,body,item _____
before,fryer,plane,head,port,air,_____ item
after,turn,upper,trench,rain,coat,item _____
after,cover,scarlet,chain,love,letter,item _____
before,saw,gang,smoke,letter,chain,_____ item
before,to,labour,sun,rainy,day,_____ item
before,money,orange,bank,brothers,blood,_____ item
before,milk,scotch,cream,fingers,butter,_____ item
after,horse,tennis,school,dance,shoe,item _____
after,boom,carrot,shower,talk,baby,item _____
after,dust,dinner,straight,yellow,jacket,item _____
after,blue,door,church,dumb,bell,item _____
after,chicken,school,fun,coffee,run,item _____
after,cross,board,side,speed,walk,item _____
after,jack,dragon,bread,kiwi,fruit,item _____
after,north,morning,gold,Christmas,star,item _____
after,fire,house,butter,dragon,fly,item _____
after,dog,drift,holly,sandal,wood,item _____
after,flea,family,media,flying,circus,item _____
after,fore,type,pod,broad,cast,item _____
after,fruit,vampire,baseball,cricket,bat,item _____
before,dance,flop,laugh,button,belly,_____ item
before,room,legend,proof,large,living,_____ item
after,pipe,American,lucid,fever,dream,item _____
before,luck,belly,shot,hole,pot,_____ item
after,sky,night,black,spot,light,item _____
after,American,humble,pumpkin,cottage,pie,item _____
before,light,scraper,blue,high,sky,_____ item
before,heater,cadet,bar,station,space,_____ item
before,guess,fiddle,wind,nature,second,_____ item
after,spinning,colour,wagon,roulette,wheel,item _____
before,phone,vision,commute,prompter,tele,_____ item
after,potato,blue,computer,wood,chip,item _____
before,bubble,body,shrink,gift,wrap,_____ item
before,raddish,power,shoe,fly,horse,_____ item
after,crazy,Charley,dark,gift,horse,item _____
before,steel,kettle,ear,oil,drum,_____ item
after,chest,coco,hazel,pea,nut,item _____
before,hand,plastic,paper,shopping,bag,_____ item
before,sausage,hot,corn,guard,dog,_____ item
before,butterfly,domino,placebo,side,effect,_____ item
before,fleece,parachute,rule,girls,golden,_____ item
before,wax,wig,mark,drum,ear,_____ item
before,body,sign,love,programming,language,_____ item
after,bloody,virgin,typhoid,hail,Mary,item _____
after,queen,honey,busy,spelling,bee,item _____
after,garage,yard,fire,clearance,sale,item _____
before,mud,bird,bubble,sponge,bath,_____ item
before,picnic,wet,throw,security,blanket,_____ item
before,batter,pong,garden,can,beer,_____ item
before,safety,hair,rolling,push,pin,_____ item
before,couch,hot,baked,sweet,potato,_____ item
before,only,poster,flower,problem,child,_____ item
before,fairy,folk,fish,tall,tale,_____ item
before,leaf,rush,mine,star,gold,_____ item
before,may,sun,wall,wild,flower,_____ item
before,liberty,tinker,bar,dinner,bell,_____ item
before,coffee,water,pool,periodic,table,_____ item
after,chain,pyramid,fight,processor,food,item _____
before,shadow,candy,witness,liner,eye,_____ item
before,bull,fog,matter,shoe,horn,_____ item
before,talk,satellite,pirate,ham,radio,_____ item
before,wave,horror,jock,value,shock,_____ item
before,power,porter,rough,wheel,house,_____ item
after,boomer,teeth,steps,blues,baby,item _____
after,cube,cream,storm,block,ice,item _____
before,letter,reaction, mail,store,chain,_____ item
before,arrow,fore,block,knuckle,head,_____ item
before,parallel,amusement,national,south,park,_____ item
before,quality,cruise,remote,birth,control,_____ item
before,cottage,cream,string,blue,cheese,_____ item
before,car,liver,whirl,swimming,pool,_____ item
after,salad,goblin,thumb,beret,green,item _____
after,scavenger,witch,egg,job,hunt,item _____
before,street,money,listening,chair,easy,_____ item
before,throne,bath,powder,rest,room,_____ item
before,boy,wedding,tribute,rubber,band,_____ item
before,paper,hair,crocodile,video,clip,_____ item
before,lime,rhine,yellow,brim,stone,_____ item
before,inch,glow,book,earth,worm,_____ item
before,rug,mall,gym,pack,rat,_____ item
before,cheer,chin,bottom,lawyer,up,_____ item
before,cabbage,nicotine,rough,cold,patch,_____ item
after,bump,demon,chess,dial,speed,item _____
before,full,gingerbread,white,haunted,house,_____ item
before,butter,chicken,lady,sticky,fingers,_____ item
before,cross,velvet,herring,bulll,red,_____ item
before,junk,finger,soul,fast,food,_____ item
before,hub,knee,mad,night,cap,_____ item
before,head,power,guilt,ego,trip,_____ item
before,gold,cat,blow,sword,fish,_____ item
before,pig,pony,cock,mock,tail,_____ item
before,heart,shoe,draw,ham,string,_____ item
before,daisy,mountain,supply,food,chain,_____ item
after,castle,piper,stone,paper,sand,item _____
before,chatter,soap,juke,shadow,box,_____ item
before,rocky,high,dirt,silk,road,_____ item
